Firm	ID	Time	Text	User	RT	From_Firm	t	URL
Monzo	1.184050443716051e+18	2019-10-15T09:16:39Z	Just got a joint monzo account with my Bf to save money for holidays 🥰	1556996611.0	-1.0	0	2019-10-15 09:00:00	
Monzo	1.184061169025327e+18	2019-10-15T09:59:16Z	@monzo That's great, thank you.	14742479.0	-1.0	0	2019-10-15 09:00:00	
Monzo	1.1840606084524485e+18	2019-10-15T09:57:02Z	"@xstex Hey Stephen 👋

Absolutely! Your friend is more than welcome to use his Polish passport to sign up for an acc… https://t.co/76YRvvLVb3"	3224409977.0	-1.0	1	2019-10-15 09:00:00	
Monzo	1.184060112241152e+18	2019-10-15T09:55:04Z	"""Setting up a brand new #ResearchOps function @monzo"" — join @kimlouiseporter as she discusses remaining #agile in… https://t.co/hgrvGYK90G"	34580169.0	-1.0	0	2019-10-15 09:00:00	
Monzo	1.1840592640605798e+18	2019-10-15T09:51:41Z	Something Monzo should really work on is the flow when closing a joint account. Closing mine seemed to log me out,… https://t.co/tL4x0iqOsr	60866860.0	-1.0	0	2019-10-15 09:00:00	
Monzo	1.184058605953323e+18	2019-10-15T09:49:05Z	I love how transparent @monzo are, really interesting read on how Monzo handles secrets and the tech that they use… https://t.co/KrPtABBKea	1.114136306051842e+18	-1.0	0	2019-10-15 09:00:00	
Monzo	1.1840580889172214e+18	2019-10-15T09:47:01Z	@mikestanley88 @fintechleague @TideBusiness @TransferWise @StarlingBank @joe_steele_ @monzo @MastercardUKbiz… https://t.co/6KRdNBt7K9	2326964449.0	-1.0	0	2019-10-15 09:00:00	
Monzo	1.1840579509917204e+18	2019-10-15T09:46:28Z	@monzo Friend wants to join Monzo but we're wondering if he can use his Polish passport as he does not have a UK on… https://t.co/is1eaY3eWj	14742479.0	-1.0	0	2019-10-15 09:00:00	
Monzo	1.1840572256497664e+18	2019-10-15T09:43:35Z	RT @dxmss_: Opened my Monzo account yesterday, card came today.  Talk about speedy	548104449.0	1.1840539672711864e+18	0	2019-10-15 09:00:00	
Monzo	1.1840561403778007e+18	2019-10-15T09:39:17Z	@glenhavercroft @monzo Already knew this 😁	583054076.0	-1.0	0	2019-10-15 09:00:00	
Monzo	1.1840539672711864e+18	2019-10-15T09:30:39Z	Opened my Monzo account yesterday, card came today.  Talk about speedy	89234658.0	-1.0	0	2019-10-15 09:00:00	
Monzo	1.1840539158825452e+18	2019-10-15T09:30:26Z	Finally joined the @monzo crew before we depart for travels	26619407.0	-1.0	0	2019-10-15 09:00:00	
Monzo	1.1840537900198502e+18	2019-10-15T09:29:56Z	"@RDWimp @joelymack @AmenaKing @woollypigs It's not project fear IF SHE ACTUALLY CAN'T GET THE MEDICINE.

Please Ple… https://t.co/My392tmhEG"	8.877159852470886e+17	-1.0	0	2019-10-15 09:00:00	
Monzo	1.184051914041897e+18	2019-10-15T09:22:29Z	RT @CyrilCoste: Oops! Monzo urges 480,000 customers to change pins as banking details exposed to unauthorised staff... https://t.co/NufUjRS…	7.795133353939681e+17	1.1840110919506125e+18	0	2019-10-15 09:00:00	
Monzo	1.1840709267296502e+18	2019-10-15T10:38:02Z	"@haidukdaniel Hi Daniel - We're afraid we only offer support in English so we can't understand your question 😩 

Do… https://t.co/Bilugvv690"	3224409977.0	-1.0	1	2019-10-15 10:00:00	
Monzo	1.1840702906466875e+18	2019-10-15T10:35:30Z	@DrCharlesLaing Unless your @monzo. Then the only way is up 😀	301558546.0	-1.0	0	2019-10-15 10:00:00	
